ID;Name
368186;AWT 05BH/06AH EH4/1971/-3287/1-1 (0-3101-01-0000040-03-11)
353280;AWT 11G F4/1977/-912/1-1 (0-3101-01-0000033-03-03)
415109;AWT 50AF F4Up/2003/76/1-2 (0-3101-01-0005974-02-03)
265351;AWT 2AC/11BC 07816 (0-3101-01-0022570-03)
373791;AWT 24T/25T EUH4/2002/151/2-2 (0-3101-01-0000003-03-05)
417851;AWT 49AD F4U/2001/43/2-2 (0-3101-01-0005903-02-02)
411306;AWT 26D F6lp/2007/547/1-2 (0-3101-01-0005527-02-03)
430933;AWT 32R F4U/1992/328/2-1 (0-3101-01-0010904-02-02)
428244;AWT 06AN/05BN EUH4/2002/9/2-1 (0-3101-01-0010749-03-08)
411621;AWT 206/FQN F3U/1991/49/2-1 (0-3101-01-0005564-02-01)
400557;AWT 77V P500/2012/723/1-1 (0-3101-01-0002074-02-02)
418254;AWT 53AF/52BF EUH4/2004/91/2-1 (0-3101-01-0005981-03-03)
395255;AWT 2BF P300/2009/168/1-2 (0-3101-01-0002100-02-02)
417886;AWT 02BH P500/1997/116/1-1 (0-3101-01-0005907-02-01)
441318;AWT 02BR/03R EUH4/1982/373/2-2 (0-3101-01-0016688-03-10)
395290;AWT 12F/11BF EUH4/1981/19000/1-1 (0-3101-01-0002103-03-03)
445620;AWT 17AI F5/1991/23/2-2 (0-3101-01-0019925-02-03)
410874;AWT 31H F4U/99/48/2-1 (0-3101-01-0005605-02-03)
420604;AWT 32AV/33V EH3/1973/-7602/1-1 (0-3101-01-0008940-03-06)
418689;AWT 14BE/15AE EUH4/2003/53/1-2 (0-3101-01-0005858-03-07)
402404;AWT 28AF F6l/1980/90/1-2 (0-3101-01-0002106-02-02)
411676;AWT 60B/73A EUH4/1988/92/1-2 (0-3101-01-0005660-03-05)
423350;AWT 23AO F4U/82/313/2-2 (0-3101-01-0009462-02-01)
424212;AWT 656 F4U/2011/65/1-1 (0-3101-01-0009470-02-01)
403207;AWT 20AC/21C EUH4/2008/370/1-1 (0-3101-01-0002145-03-09)
427979;AWT 10F F4U/1980/721/2-1 (0-3101-01-0010650-02-02)
445625;AWT 16BI F5/1997/59/2-1 (0-3101-01-0019926-02-02)
685844;AWT 69E H3U/2001/116 (0-3101-01-0177430-02-03)
427492;AWT 241 F3/1974/-1567/2-2 (0-3101-01-0010820-02-01)
404137;AWT 28BF F6l/1980/92/1-2 (0-3101-01-0002111-02-02)
421121;AWT 48R F4Up/2006/23/2-2 (0-3101-01-0008646-02-03)
463882;AWT 261B/275A EUH4/2014/1572/1-2 (0-3101-01-0023950-03-10)
403957;AWT 13E/11BE EUH4/1984/140/1-2 (0-3101-01-0002129-03-02)
404664;AWT 15AD/14BD EUH4/1998/379/2-2 (0-3101-01-0002140-03-05)
412537;AWT 19AF/18F EUH4/1993/114/2-2 (0-3101-01-0005625-03-03)
419326;AWT 37F/36BF EUH4/2003/107/1-2 (0-3101-01-0006033-03-08)
412938;AWT 60 F3/1970/-5751/2-1 (0-3101-01-0005639-02-01)
419336;AWT 37F/36BF EUH4/2003/95/2-2 (0-3101-01-0006033-03-10)
414012;AWT 16AK/19BK EH3/1969/-7545/2-1 (0-3101-01-0005741-03-06)
405877;AWT 324 F4U/1981/421/2-1 (0-3101-01-0002968-02-02)
405190;AWT 852 F4U/1994/593/1-2 (0-3101-01-0003479-03-01)
424252;AWT 02D EH4/95/73/1-2 (0-3101-01-0009472-02-05)
472388;AWT 18BD/19D EH3/2015/471/1-1 (0-3101-01-0027070-03-13)
368251;AWT 23B/26A EH4/1971/-3258/1-2 (0-3101-01-0000041-03-08)
424860;AWT 03BQ/04AQ EUH4/80/391/2-2 (0-3101-01-0009073-03-12)
374797;AWT 07H/08H EUH4/2014/1968/2-2 (0-3101-01-0000022-03-16)
374897;AWT 16BK/17K EH4/1977/-5970/1-1 (0-3101-01-0000269-03-04)
374180;AWT 21S F5/1982/173/1-1 (0-3101-01-0001398-02-02)
413449;AWT 34W F4U/1995/278/2-1 (0-3101-01-0005899-02-02)
406228;AWT 403 F3/1972/-7657/1-1 (0-3101-01-0005556-02-03)
413731;AWT 60BD F4/1980/50/1-1 (0-3101-01-0005885-02-01)
421741;AWT 25V F3sym/1973/-7443/2-2 (0-3101-01-0007266-02-01)
400102;AWT 05AH/04BH EUH4/2016/3/1-1 (0-3101-01-0001985-04-22)
353463;AWT /7 12487 (0-3101-01-0349257-02)
354371;AWT 01AM 11513 (0-3101-01-0842645-02)
376003;AWT 705 F4Usym/1993/305/1-2 (0-3101-01-0000627-02-03)
376587;AWT 08AO/07BO EUH4/1985/342/1-2 (0-3101-01-0001550-03-06)
377492;AWT 31N F6l/1990/26/2-2 (0-3101-01-0001515-02-01)
377709;AWT 04AO/03BO EUH4/1985/363/2-1 (0-3101-01-0001562-03-08)
375293;AWT 30E F4/1975/-2745/1-2 (0-3101-01-0001978-02-01)
374044;AWT 26 F3/1963/-7521/1-1 (0-3101-01-0000431-02-01)
353941;AWT 10AI/11I EUH4/1980/364/1-1 (0-3101-01-0000023-03-04)
264892;@[293C0451-B2CD-4556-827D-2B0342B3E4EF]
264453;AWT 14K/12BK 07574 (0-3101-01-0013471-03)
264269;AWT 07K/09BK 07564 (0-3101-01-0012392-03)
373984;AWT 18K F215/2014/554/1-1 (0-3101-01-0000270-02-02)
410418;AWT 06S F3/1978/-7561/1-2 (0-3101-01-0005539-02-01)
430623;AWT 63AD F5/2014/4628/1-1 (0-3101-01-0010956-02-01)
410343;AWT 13A F3/1970/-5386/2-2 (0-3101-01-0005880-02-01)
397799;AWT 33C P1150/2003/71/2-1 (0-3101-01-0002086-02-03)
417199;AWT 252 F4U/1995/180/2-1 (0-3101-01-0005861-02-01)
401547;AWT 18E/17AE EUH4/2016/82/2-2 (0-3101-01-0002005-03-14)
445615;AWT 17AI F5/1996/66/1-1 (0-3101-01-0019925-02-02)
400993;AWT 36F TH3/1968/-5063/2-2 (0-3101-01-0002017-03-11)
410653;AWT 01AS P500/2011/1361/1-1 (0-3101-01-0005519-02-03)
402074;AWT 32F F4/1979/-4146/2-1 (0-3101-01-0002056-02-02)
401903;AWT 26BF P500/2007/65/1-2 (0-3101-01-0002094-02-01)
411466;AWT 01F EUH4/1980/211/2-2 (0-3101-01-0005598-04-04)
422668;AWT 33/34 EUH4/1984/374/1-2 (0-3101-01-0007927-03-07)
402695;AWT 28AF F6l/1980/164/2-1 (0-3101-01-0002106-02-01)
411486;AWT 299 F4U/93/199/2-2 (0-3101-01-0005626-02-02)
418994;AWT 23B/24A EH3/1970/-299/2-1 (0-3101-01-0006006-03-02)
402429;AWT 2AF/3F EUH4/1981/191/1-1 (0-3101-01-0002109-03-04)
427769;AWT 03AS F4/96/313/1-2 (0-3101-01-0010626-02-02)
402620;AWT 06C P500/2014/1332/1-1 (0-3101-01-0002231-02-03)
410123;AWT 60A/72B EUH4/1986/103/2-1 (0-3101-01-0005646-03-03)
413274;AWT 65B/66A EUH4/2013/427/2-1 (0-3101-01-0005661-03-04)
431143;AWT 37D/38D EH3/99/56/1-1 (0-3101-01-0010948-03-08)
403817;AWT 05D F6l/2004/39/2-2 (0-3101-01-0002211-02-01)
423280;AWT 13H/14BH EUH3/2008/257/2-1 (0-3101-01-0008819-03-05)
412195;AWT 82B/84A EH4/2005/178/2-2 (0-3101-01-0005643-03-10)
465817;AWT 271B/272A EUH4/1999/348/1-2 (0-3101-01-0023972-03-10)
403857;AWT 16D F3/1973/-2655/1-2 (0-3101-01-0002215-02-02)
413103;AWT 34F F3/1968/-5853/1-1 (0-3101-01-0005652-02-02)
427784;AWT 03BS/04S EH3/2000/55/2-1 (0-3101-01-0010627-03-04)
419517;AWT 35AF/34BF EUH4/2002/60/1-1 (0-3101-01-0006025-03-01)
412833;AWT 08AF/07BF EUH4/1993/72/2-1 (0-3101-01-0005632-03-08)
405160;AWT 20C F4U/1983/115/2-1 (0-3101-01-0003405-02-02)
423782;AWT 652 F4Usym/1991/52/2-2 (0-3101-01-0008947-02-02)
405290;AWT 50G/51G EUH3/2000/59/1-1 (0-3101-01-0003396-03-03)
428194;AWT 44BD/45D EH3/1970/-2527/2-2 (0-3101-01-0010621-03-05)
426198;AWT 57R F3/77/-4638/1-1 (0-3101-01-0010521-02-03)
373801;AWT 24T/25T EUH4/2002/100/2-1 (0-3101-01-0000003-03-07)
373831;AWT 27T F4Up/2001/289/2-1 (0-3101-01-0000004-02-01)
369487;AWT 16BK/17K EH4/1976/-5971/2-1 (0-3101-01-0000269-03-03)
720081;AWT 69D H4A-HA1/8D/2014/2923/JEZ (0-3101-01-0606291-02-01)
353353;AWT 7 F2sym/1973/-7625/2-2 (0-3101-01-0001465-02-01)
417239;AWT 03H P2000/2003/3/2-1 (0-3101-01-0005937-02-03)
409301;AWT 73B/74 EUH3/1998/29/2-1 (0-3101-01-0005576-03-11)
400097;AWT 05AH/04BH EUH4/2015/511/2-2 (0-3101-01-0001985-04-21)
421056;AWT 12AU P1150/2010/229/2-1 (0-3101-01-0007618-02-02)
354026;AWT 01AJ 04145 (0-3101-01-0011821-02)
354128;AWT /227/ 13747 (0-3101-01-0851095-02)
375620;AWT 11AO/12 EUH4/1985/61/2-1 (0-3101-01-0001404-02-10)
400107;AWT 01E F4Usym/1998/10/2-2 (0-3101-01-0001986-02-01)
376023;AWT 60 F5/1970/1/2-2 (0-3101-01-0001513-02-01)
374766;AWT 03AM EUH4/1986/213/2-1 (0-3101-01-0001533-03-11)
375263;AWT 28 F4/2010/1170/2-2 (0-3101-01-0001974-02-02)
410483;AWT 15 F3/2001/46/2-1 (0-3101-01-0005578-02-03)
378430;AWT 72 F5/1985/103/2-1 (0-3101-01-0001532-02-01)
369392;AWT 04AM F5/2014/1274/1-1 (0-3101-01-0000223-02-03)
352842;AWT 22G F4/1977/-3224/1-2 (0-3101-01-0000046-02-02)
265118;AWT 08AG 08348 (0-3101-01-0006070-02)
264458;AWT 15AK 16071 (0-3101-01-0013609-02)
373896;AWT 47B/06BH EH4/1967/-3465/2-2 (0-3101-01-0000011-03-06)
422538;AWT 440 FPU/1984/47/2-2 (0-3101-01-0007624-02-02)
422849;AWT 227 F3/1978/-1511/1-1 (0-3101-01-0010829-02-03)
417771;AWT 28W F4U/1996/48/2-2 (0-3101-01-0005921-02-03)
400738;AWT 17H F3/1982/-7496/2-2 (0-3101-01-0002038-03-04)
413781;AWT 13AH F5p/2004/44/2-2 (0-3101-01-0005890-02-03)
397999;AWT 08AF/09F EH4/1978/-3418/2-2 (0-3101-01-0002063-03-10)
452296;AWT 31AK P300/1997/114/1-1 (0-3101-01-0019912-02-03)
410448;AWT 08S F3/1970/-7577/2-1 (0-3101-01-0005542-02-01)
417219;AWT 61B F5/1977/-5090/2-1 (0-3101-01-0005863-02-01)
441899;AWT 11BN F5/1988/98/1-1 (0-3101-01-0016811-02-01)
411556;AWT 73B/74 EUH3/1998/40/1-2 (0-3101-01-0005576-03-03)
453494;AWT 02BG F6/1998/98026/2-2 (0-3101-01-0019971-02-02)
401612;AWT 16T F2sym/1973/-6560/2-2 (0-3101-01-0002011-02-03)
402800;AWT 15H F215 all/2016/1/2-2 (0-3101-01-0002037-02-06)
411949;AWT 71B/72A EH4/2003/225/1-2 (0-3101-01-0005655-03-03)
400442;AWT 13E/11BE EUH4/1986/281/2-2 (0-3101-01-0002129-03-12)
402234;AWT 33/27A EUH4/1982/57/2-1 (0-3101-01-0002153-03-01)
422874;AWT 231 F3/1980/-1520/2-2 (0-3101-01-0010832-02-01)
425420;AWT 01AO F6l/90/42/1-2 (0-3101-01-0009492-02-01)
402239;AWT 33/27A EUH4/1982/38/1-2 (0-3101-01-0002153-03-03)
412668;AWT 50AD F4U/1995/272/2-1 (0-3101-01-0005678-02-01)
